app_key,accountability,block_removal,calendar_scheduling,custom_rules,emergency_access,goal_advancement,goal_planning,habit_analytics,habit_reminders,habit_tracking,notes_knowledge,override_friction,prioritisation,project_planning,reward_punishment,routine_builder,scheduling,self_tracking,streaks,task_management,time_blocking
cws:eoaadhjniegbmpgooeflmdfonmaajpcp,0.0,0.9,0.95,0.9,0.9,0.85,0.9,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.95,0.0,0.85,0.95
cws:eopnbfdedknpnlgcbeafohkkkgahpcgo,0.9,0.95,0.9,0.9,0.5,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.85,0.9,0.5,0.9,0.85,0.9,0.95
cws:famfkafckbmdnbnhjomagngmncfjjlee,0.5,0.95,0.95,0.95,0.8,0.7,0.95,0.5,0.5,0.5,0.95,0.8,0.95,0.95,0.9,0.5,0.9,0.85,0.5,0.95,0.95
cws:femnahohginddofgekknfmaklcbpinkn,0.5,0.9,0.0,0.7,0.7,0.8,0.0,0.5,0.5,0.5,0.0,0.7,0.0,0.0,0.8,0.5,0.7,0.8,0.5,0.0,0.0
cws:fgaaffhjdmhlhdmmigjpjepflplblgam,0.0,0.9,0.9,0.9,0.9,0.95,0.9,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.95,0.0,0.9,0.95
cws:fgdbgpogmjcfhbifhhongdeidnnmnadb,0.0,0.95,0.0,0.95,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.0,0.0
cws:fgkkmokgpilcfageadkabpfcolkddefk,0.0,0.95,0.8,0.9,0.95,0.9,0.8,0.0,0.0,0.0,0.8,0.95,0.8,0.8,0.95,0.0,0.95,0.95,0.0,0.9,0.85
cws:fhibnoojcpppgnhmflbejbdenpllndai,0.9,0.9,0.85,0.9,0.9,0.95,0.8,0.85,0.9,0.9,0.7,0.9,0.8,0.7,0.9,0.9,0.9,0.95,0.9,0.9,0.9
cws:fifbgboiihlbnmgcjpdbeeaaemnlgnoh,0.0,0.95,0.0,0.85,0.85,0.9,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.9,0.0,0.85,0.9,0.0,0.0,0.0
cws:fmlkbhlcpkkgndjjmlbgdhkojokiechg,0.9,0.95,0.0,0.7,0.9,0.9,0.0,0.9,0.9,0.9,0.0,0.9,0.0,0.0,0.8,0.9,0.7,0.95,0.9,0.0,0.0
cws:gefaddaengbodpiobpbgblajdboalmgc,0.0,0.9,0.0,0.9,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0
cws:gigiekecpijokpijbabheahcnpfchhga,0.0,0.9,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0
cws:gmdaagomicigmgadngfallebccknddhd,0.0,0.95,0.9,0.95,0.95,0.9,0.9,0.0,0.0,0.0,0.9,0.95,0.9,0.9,0.95,0.0,0.95,0.9,0.0,0.9,0.95
cws:gmmcoggmjnbbklphjcbnpfepmagelgkk,0.0,0.9,0.0,0.8,0.85,0.8,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.9,0.0,0.8,0.85,0.0,0.0,0.0
cws:gnjnoncblhhofbhekoogfohpppkbiclo,0.9,0.95,0.95,0.9,0.9,0.85,0.95,0.9,0.9,0.9,0.95,0.95,0.95,0.95,0.9,0.9,0.95,0.85,0.9,0.95,0.9
cws:gpiakngfngdkcbgggpahcpokomckjnka,0.9,0.0,0.95,0.0,0.0,0.0,0.95,0.9,0.9,0.5,0.95,0.0,0.95,0.95,0.0,0.9,0.0,0.0,0.9,0.95,0.9
cws:hcelgfllhjoilpbohioepjnbmgkefaen,0.0,0.95,0.0,0.85,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.9,0.0,0.8,0.9,0.0,0.0,0.0
cws:hchpbgikdjjaecnpjigpbemfpklenjbk,0.0,0.9,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0
cws:hddclpebfglijbmapdjminkkcafchkmb,0.0,0.9,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0
cws:hdndbhnidlhphocggjbhdpeeaiehmadh,0.0,0.9,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.85,0.0,0.8,0.85,0.0,0.0,0.0
cws:heiociebkegcmkeagfhjegdklidfdidd,0.0,0.95,0.0,0.9,0.95,0.9,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.95,0.0,0.9,0.9,0.0,0.0,0.0
cws:hgbhmfckkljdpebjaafmhaidboijiflp,0.0,0.95,0.9,0.95,0.95,0.85,0.9,0.0,0.0,0.0,0.9,0.95,0.9,0.9,0.95,0.0,0.95,0.9,0.0,0.9,0.95
cws:hljpnbabhaomedbbpmknmhjmbbhbgnod,0.0,0.95,0.9,0.9,0.8,0.85,0.9,0.0,0.0,0.0,0.9,0.8,0.9,0.9,0.9,0.0,0.75,0.8,0.0,0.9,0.9
cws:hllblboekpocmhbkkhdekeldnphdpmlk,0.0,0.9,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0
cws:hlnfaecadmhdahdicpegeahkjchclojl,0.9,0.95,0.0,0.95,0.85,0.9,0.0,0.9,0.9,0.5,0.0,0.85,0.0,0.0,0.9,0.9,0.85,0.9,0.9,0.0,0.0
cws:ifdepgnnjpnbkcgempionjablajancjc,0.0,0.95,0.95,0.95,0.8,0.9,0.95,0.0,0.0,0.0,0.95,0.9,0.95,0.95,0.8,0.0,0.9,0.85,0.0,0.95,0.95
cws:iijpilnaolaphiljcinklmdlgdhdokia,0.9,0.95,0.0,0.9,0.85,0.85,0.0,0.95,0.95,0.5,0.0,0.85,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.0
cws:ipdhikeonhhnphaffliobbkdepniggil,0.0,0.9,0.95,0.9,0.8,0.9,0.95,0.0,0.0,0.0,0.95,0.8,0.95,0.95,0.9,0.0,0.95,0.9,0.0,0.95,0.95
cws:ipggcbohndbcegepmgmkdapggbilhmee,0.9,0.0,0.9,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.9,0.0,0.9,0.0,0.0,0.9,0.9,0.95
cws:jdbliieklfhihjpmhhekcoldpcemlafj,0.0,0.9,0.0,0.9,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.85,0.5,0.0,0.0,0.0
cws:jdgkhgoanhhnileehaipfpffmnfiiibh,0.0,0.9,0.9,0.9,0.9,0.85,0.9,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.95,0.0,0.9,0.8,0.0,0.9,0.95
cws:jemdldabgmbndebknjpdoeamckbliobm,0.5,0.95,0.0,0.9,0.5,0.9,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.85,0.5,0.5,0.9,0.5,0.0,0.0
cws:jfgclifcjffpgeeonldlmfkipgjnbcai,0.0,0.85,0.9,0.8,0.8,0.85,0.8,0.0,0.0,0.0,0.9,0.8,0.8,0.9,0.9,0.0,0.85,0.95,0.0,0.9,0.95
cws:jmdmoiflcdfmpemlhjdlfomobdcdmfai,0.0,0.95,0.95,0.95,0.8,0.9,0.95,0.0,0.0,0.0,0.95,0.8,0.95,0.95,0.9,0.0,0.95,0.9,0.0,0.95,0.9
cws:jncfngnkpganmjmdgneaochohoejalin,0.5,0.9,0.0,0.9,0.9,0.95,0.0,0.9,0.9,0.5,0.0,0.9,0.0,0.0,0.9,0.5,0.85,0.95,0.5,0.0,0.0
cws:jpafaidkicnfcohbcfegbokibbghpnee,0.0,0.95,0.95,0.9,0.7,0.8,0.95,0.0,0.0,0.0,0.95,0.7,0.95,0.95,0.9,0.0,0.95,0.9,0.0,0.95,0.95
cws:jplackcnmigbganpfbkghkinkbhpgnpg,0.5,0.95,0.0,0.7,0.8,0.8,0.0,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.9,0.5,0.75,0.8,0.5,0.0,0.0
cws:kgbhcpefflhkcfjphgmjncmhdgegddaa,0.0,0.95,0.0,0.95,0.85,0.9,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.9,0.0,0.85,0.9,0.0,0.0,0.0
cws:kgehdpikfeppnmjeoklagcpmjhbdhokl,0.0,0.95,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.95,0.0,0.95,0.95,0.0,0.0,0.0
cws:kglcjphcooleepabaanldpogbgfiioio,0.8,0.0,0.9,0.0,0.0,0.0,0.9,0.8,0.8,0.9,0.95,0.0,0.95,0.95,0.0,0.8,0.0,0.0,0.8,0.9,0.95
cws:kjacjjdnoddnpbbcjilcajfhhbdhkpgk,0.0,0.7,0.0,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.9,0.0,0.7,0.7,0.0,0.0,0.0
cws:kmknalpaghkffobnpnepdlggelbpgifp,0.0,0.8,0.0,0.5,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.6,0.8,0.0,0.0,0.0
cws:kniediipngcpmbmpeacaoinhoeipfina,0.0,0.95,0.95,0.95,0.9,0.85,0.95,0.0,0.0,0.0,0.95,0.9,0.95,0.95,0.9,0.0,0.95,0.9,0.0,0.95,0.95
cws:knoibfcfmbijcbemjoiajedddjcekcfh,0.0,0.95,0.9,0.9,0.6,0.85,0.9,0.0,0.0,0.0,0.5,0.6,0.5,0.5,0.7,0.0,0.9,0.85,0.0,0.9,0.9
cws:kobdkbiaocipojejmmfpanehieloahpd,0.5,0.95,0.95,0.95,0.8,0.8,0.95,0.9,0.5,0.5,0.95,0.8,0.95,0.95,0.8,0.5,0.95,0.9,0.5,0.95,0.95
cws:lbajmocmhedhaaiiammglajpagbdaeeh,0.0,0.95,0.95,0.9,0.95,0.9,0.9,0.0,0.0,0.0,0.9,0.95,0.9,0.9,0.95,0.0,0.9,0.95,0.0,0.9,0.95
cws:lebiggkccaodkkmjeimmbogdedcpnmfb,0.0,0.95,0.0,0.95,0.85,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.95,0.9,0.0,0.0,0.0
cws:lfbpllmokmhinnopfchemobgglipfini,0.0,0.9,0.95,0.95,0.9,0.9,0.95,0.0,0.0,0.0,0.95,0.85,0.95,0.95,0.9,0.0,0.95,0.9,0.0,0.95,0.95
cws:lkicfohpijhcaahdmianhgjglifhlmge,0.0,0.95,0.9,0.7,0.7,0.9,0.9,0.0,0.0,0.0,0.9,0.7,0.9,0.9,0.8,0.0,0.7,0.85,0.0,0.9,0.95
cws:llogngooedgefajjngomcpbjejcehiei,0.0,0.9,0.95,0.9,0.9,0.9,0.95,0.0,0.0,0.0,0.95,0.9,0.95,0.95,0.9,0.0,0.9,0.9,0.0,0.95,0.9
cws:lmhigafnplnkcajndfikkgmbmnlhpomm,0.0,0.95,0.0,0.95,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.95,0.0,0.95,0.95,0.0,0.0,0.0
cws:lmkabfnhejcjipkccmgphkhmakokeadk,0.0,0.95,0.0,0.95,0.95,0.9,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.95,0.0,0.95,0.9,0.0,0.0,0.0
cws:mfokmjkehphfjpglcpfgdfohpjmpdikb,0.0,0.95,0.0,0.9,0.9,0.85,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.95,0.0,0.9,0.9,0.0,0.0,0.0
cws:mjlpmgalhhdeeabfncllajdlkmgbppnk,0.0,0.9,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.9,0.95,0.0,0.0,0.0
cws:mnipihpddbmlpcklhpfamejbeldiclkc,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.85,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0
cws:nanjaegameeoomamnliimipmmfabdngd,0.0,0.9,0.9,0.8,0.8,0.95,0.9,0.0,0.0,0.0,0.9,0.8,0.9,0.9,0.9,0.0,0.8,0.8,0.0,0.5,0.95
cws:ncaaipdfhdijmfdfmeoagmogddhkfdec,0.0,0.95,0.0,0.95,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.0,0.0
cws:ngboiiifeoioghodfglighnahefnjbib,0.95,0.95,0.95,0.9,0.5,0.9,0.95,0.9,0.9,0.5,0.95,0.5,0.95,0.95,0.85,0.9,0.5,0.9,0.95,0.85,0.9
cws:ngceodoilcgpmkijopinlkmohnfifjfb,0.0,0.95,0.85,0.95,0.95,0.9,0.7,0.0,0.0,0.0,0.7,0.95,0.7,0.7,0.95,0.0,0.9,0.95,0.0,0.9,0.9
cws:ngdnagmkbllpeiihbiojaeiopffnknna,0.5,0.95,0.0,0.95,0.95,0.9,0.0,0.5,0.5,0.5,0.0,0.95,0.0,0.0,0.95,0.5,0.95,0.9,0.5,0.0,0.0
cws:nhoiajdbcfmpddgakbhjljacldalbfdo,0.5,0.95,0.9,0.85,0.6,0.7,0.9,0.9,0.5,0.5,0.9,0.6,0.9,0.9,0.8,0.5,0.9,0.9,0.5,0.9,0.9
cws:niobhkibappdoakflmihhobagcdfimhi,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.95,0.0,0.9,0.85
cws:njboofjpggbholgpjkdllgnancfangoo,0.0,0.95,0.9,0.95,0.95,0.9,0.9,0.0,0.0,0.0,0.9,0.95,0.9,0.9,0.95,0.0,0.95,0.95,0.0,0.9,0.95
cws:nncbanjglhbgeilnlmoeemmbmbigmabe,0.0,0.9,0.9,0.9,0.9,0.85,0.9,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.95,0.0,0.85,0.95
cws:nognbljbdjgcnimgimlpaginadeiiefe,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.9
cws:oaloflofefcednelnfdbehkgccnmbnda,0.9,0.95,0.0,0.8,0.8,0.85,0.0,0.9,0.95,0.5,0.0,0.8,0.0,0.0,0.9,0.9,0.8,0.9,0.9,0.0,0.0
cws:ocaajdaaekpmopddjnobakkpkemeggmk,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.8
cws:ochfcccdpicgmcbnlppcpladnbifhmdm,0.9,0.9,0.0,0.8,0.85,0.95,0.0,0.9,0.5,0.9,0.0,0.85,0.0,0.0,1.0,0.5,0.85,1.0,0.5,0.0,0.0
cws:odhelkeplfnhfobhdhjjaaebndmfomjm,0.5,0.8,0.9,0.8,0.8,0.95,0.9,0.5,0.5,0.5,0.85,0.8,0.9,0.9,0.9,0.5,0.8,0.8,0.5,0.9,0.85
cws:odjmobnhfambobinhahdilkodkiapjji,0.0,0.85,0.9,0.9,0.9,0.85,0.9,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.9,0.0,0.9,0.9
cws:odlchholdefemjnkakoejacenfmkmkgi,0.5,0.95,0.0,0.95,0.8,0.9,0.0,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.9,0.5,0.85,0.9,0.5,0.0,0.0
cws:ofmanejijbcohgebmdfacglmhemiifca,0.0,0.95,0.0,0.95,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.9,0.0,0.95,0.8,0.0,0.0,0.0
cws:ogjmohkdfhbogmokhbgphnmkmiilfkce,0.0,0.9,0.9,0.9,0.9,0.9,0.85,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.95,0.0,0.9,0.95,0.0,0.85,0.95
cws:pecaajdaecdmikcgfdgldcofdebhfbgo,0.9,0.95,0.95,0.9,0.7,0.85,0.95,0.9,0.9,0.9,0.95,0.7,0.95,0.95,0.8,0.9,0.9,0.9,0.9,0.95,0.9
cws:pfbgmmjloigajfgnfmgmdbafaedpmlml,0.0,0.9,0.9,0.9,0.9,0.8,0.9,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.85,0.8,0.0,0.9,0.95
cws:pmidogkmlinflaheifgepebnajobhkoi,0.0,0.8,0.0,0.9,0.9,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.8,0.7,0.0,0.0,0.0
ios:id1044132525,0.5,0.95,0.9,0.95,0.95,0.9,0.9,0.9,0.5,0.5,0.9,0.95,0.9,0.9,0.9,0.5,0.95,0.95,0.5,0.9,0.95
ios:id1077776989,0.0,0.9,0.95,0.9,0.9,0.85,0.95,0.0,0.0,0.0,0.95,0.9,0.95,0.95,0.9,0.0,0.9,0.95,0.0,0.95,0.95
ios:id1083376166,0.0,0.9,0.9,0.9,0.9,0.95,0.9,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.95,0.0,0.9,0.95
ios:id1095742214,0.0,0.9,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.9,0.95,0.0,0.0,0.0
ios:id1110684238,0.0,0.95,0.0,0.95,0.95,0.9,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.95,0.0,0.95,0.95,0.0,0.0,0.0
ios:id1117766356,0.8,0.95,0.9,0.9,0.9,0.9,0.9,0.85,0.8,0.9,0.9,0.9,0.9,0.9,0.95,0.8,0.9,0.95,0.8,0.9,0.95
ios:id1118406319,0.0,0.95,0.0,0.95,0.95,0.9,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.95,0.0,0.95,0.9,0.0,0.0,0.0
ios:id1207505588,0.0,0.95,0.0,0.95,0.95,0.9,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.95,0.0,0.95,0.95,0.0,0.0,0.0
ios:id1220720718,0.0,0.8,0.9,0.8,0.8,0.9,0.9,0.0,0.0,0.0,0.9,0.8,0.9,0.9,0.9,0.0,0.85,0.95,0.0,0.9,0.9
ios:id1224121850,0.5,0.95,0.0,0.95,0.95,0.9,0.0,0.5,0.5,0.5,0.0,0.95,0.0,0.0,0.95,0.5,0.95,0.95,0.5,0.0,0.0
ios:id1239133490,0.0,0.95,0.0,0.95,0.95,0.9,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.95,0.0,0.95,0.9,0.0,0.0,0.0
ios:id1239520314,0.0,0.7,0.9,0.6,0.6,0.6,0.9,0.0,0.0,0.0,0.9,0.6,0.9,0.5,0.6,0.0,0.6,0.7,0.0,0.5,0.9
ios:id1241839696,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.95,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0
ios:id1265128036,0.0,0.9,0.95,0.9,0.9,0.85,0.95,0.0,0.0,0.0,0.95,0.9,0.95,0.95,0.9,0.0,0.85,0.95,0.0,0.85,0.95
ios:id1308275296,0.0,0.9,0.0,0.9,0.9,0.85,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.85,0.95,0.0,0.0,0.0
